There were 22762 Peaks found from m/z=   168.97    to m/z=   914.56.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE ION MODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise threshold: 0.011372        Peak threshold: 0.016245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration parameters: A = 144218504.692816 , B = -434117778.324974 and Trap Plate Voltage = -1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center of Mass for the Assigned Window is   497.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 There were ,11328 odd peaks, and ,11434 even peaks,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak Number,Mass,Rel. Abundance,RP,Kendrick Mass,Nom. Mass,Odd/Even,Nom. Z,KMD,Series Fit,DBE,Group,,Molecular Formula,,,,,,,,,,,,,,,,,
1,316.23193,0.0472,1192170.63,315.8788,316,1,-6,121,0,0,,,No Hit,,,,,,,,,,,,,,,,,
2,330.24757,1.0064,1232636.96,329.8788,330,1,-6,121,0,0,,,No Hit,,,,,,,,,,,,,,,,,
3,344.26321,101.8714,1197692.8,343.8788,344,1,-6,121,0,0,,,No Hit,,,,,,,,,,,,,,,,,
4,340.15539,0.0841,1176846.39,339.7756,340,1,-10,224,1,10,,N1 O4 ,,C,20,H,22,N,1,O,4,,,,,,,,,
5,396.21794,27.4711,1035802.77,395.7755,396,1,-10,224,1,10,,N1 O4 ,,C,24,H,30,N,1,O,4,,,,,,,,,
6,466.2962,0.0494,962197.03,465.7756,466,1,-10,224,1,10,,N1 O4 ,,C,29,H,40,N,1,O,4,,,,,,,,,
7,508.3433,0.0424,760903.11,507.7757,508,1,-10,224,1,10,,N1 O4 ,,C,32,H,46,N,1,O,4,,,,,,,,,
8,536.37451,0.0551,693622.4,535.7756,536,1,-10,224,1,10,,N1 O4 ,,C,34,H,50,N,1,O,4,,,,,,,,,
9,550.39021,0.0467,811163.6,549.7757,550,1,-10,224,1,10,,N1 O4 ,,C,35,H,52,N,1,O,4,,,,,,,,,
10,592.43722,0.0379,416583.04,591.7757,592,1,-10,224,1,10,,N1 O4 ,,C,38,H,58,N,1,O,4,,,,,,,,,
11,606.45293,0.0473,616592.79,605.7758,606,1,-10,224,1,10,,N1 O4 ,,C,39,H,60,N,1,O,4,,,,,,,,,
12,648.49977,0.0448,503966.01,647.7757,648,1,-10,224,1,10,,N1 O4 ,,C,42,H,66,N,1,O,4,,,,,,,,,
13,662.51552,0.0613,592855.09,661.7758,662,1,-10,224,1,10,,N1 O4 ,,C,43,H,68,N,1,O,4,,,,,,,,,
14,690.54676,0.048,606264.89,689.7757,690,1,-10,224,1,10,,N1 O4 ,,C,45,H,72,N,1,O,4,,,,,,,,,
15,704.56229,0.0492,571822.91,703.7756,704,1,-10,224,1,10,,N1 O4 ,,C,46,H,74,N,1,O,4,,,,,,,,,
16,718.57809,0.0393,538611.82,717.7758,718,1,-10,224,1,10,,N1 O4 ,,C,47,H,76,N,1,O,4,,,,,,,,,
17,216.08195,0.0462,1992100.66,215.8407,216,1,-8,159,2,12,,N1 ,,C,16,H,10,N,1,,,,,,,,,,,
18,230.09759,0.3826,1741352.81,229.8407,230,1,-8,159,2,12,,N1 ,,C,17,H,12,N,1,,,,,,,,,,,
19,244.11323,2.3052,1671252.28,243.8407,244,1,-8,159,2,12,,N1 ,,C,18,H,14,N,1,,,,,,,,,,,
20,258.12887,6.5941,1568259.26,257.8407,258,1,-8,159,2,12,,N1 ,,C,19,H,16,N,1,,,,,,,,,,,
21,272.1445,9.5278,1478786.94,271.8406,272,1,-8,159,2,12,,N1 ,,C,20,H,18,N,1,,,,,,,,,,,
22,286.16014,14.7652,1413768.18,285.8406,286,1,-8,159,2,12,,N1 ,,C,21,H,20,N,1,,,,,,,,,,,
23,300.17578,15.3949,1359521.54,299.8406,300,1,-8,159,2,12,,N1 ,,C,22,H,22,N,1,,,,,,,,,,,
